Date : 2024-09-21 13:28:23
Directory : c:\Users\HP\Desktop\mvp
Total : 219 files,  41675 codes, 337 comments, 1462 blanks, all 43474 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| vue                |         62 |     20,749 |        185 |        293 |     21,227 |
| JavaScript         |        124 |      9,304 |         83 |      1,073 |     10,460 |
| JSON               |         19 |      7,071 |          0 |          9 |      7,080 |
| CSS                |          2 |      4,434 |         68 |         70 |      4,572 |
| XML                |          8 |         63 |          0 |          8 |         71 |
| Markdown           |          1 |         19 |          0 |          6 |         25 |
| JSON with Comments |          1 |         17 |          0 |          2 |         19 |
| HTML               |          1 |         16 |          1 |          1 |         18 |
| Properties         |          1 |          2 |          0 |          0 |          2 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                       | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                          |        219 |     41,675 |        337 |      1,462 |     43,474 |
| Backend                                                                                    |        120 |     11,790 |         51 |      1,036 |     12,877 |
| Backend (Files)                                                                            |          2 |      2,089 |          0 |          2 |      2,091 |
| Backend\src                                                                                |        118 |      9,701 |         51 |      1,034 |     10,786 |
| Backend\src (Files)                                                                        |          1 |         19 |          0 |          4 |         23 |
| Backend\src\connection                                                                     |          2 |        256 |          0 |         31 |        287 |
| Backend\src\controller                                                                     |         18 |      1,392 |          0 |        262 |      1,654 |
| Backend\src\controller (Files)                                                             |          1 |          3 |          0 |          1 |          4 |
| Backend\src\controller\admin                                                               |          1 |         83 |          0 |         14 |         97 |
| Backend\src\controller\auth                                                                |          1 |        128 |          0 |         28 |        156 |
| Backend\src\controller\electricity                                                         |          2 |        498 |          0 |         95 |        593 |
| Backend\src\controller\graphics                                                            |          4 |        264 |          0 |         48 |        312 |
| Backend\src\controller\meter                                                               |          1 |         86 |          0 |         12 |         98 |
| Backend\src\controller\server                                                              |          8 |        330 |          0 |         64 |        394 |
| Backend\src\global                                                                         |          5 |        237 |          0 |         11 |        248 |
| Backend\src\middleware                                                                     |         10 |        204 |          0 |         36 |        240 |
| Backend\src\models                                                                         |         20 |        512 |         22 |         58 |        592 |
| Backend\src\models (Files)                                                                 |          2 |         49 |          0 |          4 |         53 |
| Backend\src\models\objects                                                                 |          2 |         54 |          0 |          6 |         60 |
| Backend\src\models\server_request                                                          |         16 |        409 |         22 |         48 |        479 |
| Backend\src\repository                                                                     |         20 |      4,306 |          1 |        381 |      4,688 |
| Backend\src\repository (Files)                                                             |          2 |         89 |          0 |          5 |         94 |
| Backend\src\repository\objects                                                             |          2 |      2,637 |          0 |        197 |      2,834 |
| Backend\src\repository\server_request                                                      |         16 |      1,580 |          1 |        179 |      1,760 |
| Backend\src\router                                                                         |         17 |        213 |          0 |         33 |        246 |
| Backend\src\router (Files)                                                                 |          1 |         38 |          0 |          2 |         40 |
| Backend\src\router\admin                                                                   |          1 |         12 |          0 |          2 |         14 |
| Backend\src\router\auth                                                                    |          1 |         11 |          0 |          2 |         13 |
| Backend\src\router\electricity                                                             |          2 |         44 |          0 |          4 |         48 |
| Backend\src\router\graphics                                                                |          3 |         32 |          0 |          6 |         38 |
| Backend\src\router\meter                                                                   |          1 |         15 |          0 |          2 |         17 |
| Backend\src\router\server                                                                  |          8 |         61 |          0 |         15 |         76 |
| Backend\src\server                                                                         |          5 |        872 |          0 |          4 |        876 |
| Backend\src\utils                                                                          |         11 |      1,445 |         28 |        175 |      1,648 |
| Backend\src\validation                                                                     |          9 |        245 |          0 |         39 |        284 |
| Frontend                                                                                   |         99 |     29,885 |        286 |        426 |     30,597 |
| Frontend (Files)                                                                           |          9 |        403 |          1 |         11 |        415 |
| Frontend\public                                                                            |          7 |      3,314 |          1 |          1 |      3,316 |
| Frontend\src                                                                               |         83 |     26,168 |        284 |        414 |     26,866 |
| Frontend\src (Files)                                                                       |          3 |        376 |         21 |         27 |        424 |
| Frontend\src\renderer                                                                      |         80 |     25,792 |        263 |        387 |     26,442 |
| Frontend\src\renderer\assets                                                               |         11 |      4,580 |         68 |         79 |      4,727 |
| Frontend\src\renderer\assets (Files)                                                       |          1 |         83 |          0 |          1 |         84 |
| Frontend\src\renderer\assets\css                                                           |          2 |      4,434 |         68 |         70 |      4,572 |
| Frontend\src\renderer\assets\svg                                                           |          8 |         63 |          0 |          8 |         71 |
| Frontend\src\renderer\components                                                           |         50 |     13,221 |         85 |        230 |     13,536 |
